author,date,title,link
"Simon Kolmanič, Štefan Kohek, Borut Žalik",28 June 2018,From computer edit geometric design education to virtual worlds: Advantages and pitfalls of Computer-Based Education,https://onlinelibrary.wiley.com/doi/10.1002/cae.21987
Jacob Palme,01 September 1979,A human-computer interface for non-computer specialists,https://onlinelibrary.wiley.com/doi/10.1002/spe.4380090907
,21 May 2012,A Framework for Service-Learning in the Computer and Information Sciences,https://onlinelibrary.wiley.com/doi/10.1002/9781118319130.ch1
"G.E. Palaigeorgiou, P.D. Siozos, N.I. Konstantakis, I.A. Tsoukalas",19 September 2005,A computer attitude scale for computer science freshmen and its educational implications,https://onlinelibrary.wiley.com/doi/10.1111/j.1365-2729.2005.00137.x
"Jovan Djordjevic, Bosko Nikolic, Tanja Borozan, Aleksandar Milenković",03 April 2008,CAL2: Computer aided learning in computer architecture laboratory,https://onlinelibrary.wiley.com/doi/10.1002/cae.20141
,12 November 2004,Introduction to Computer Systems,https://onlinelibrary.wiley.com/doi/10.1002/0471478326.ch1
,10 February 2017,Computer Vision in Vehicles,https://onlinelibrary.wiley.com/doi/10.1002/9781118868065.ch1
,14 December 2007,Computer Games,https://onlinelibrary.wiley.com/doi/10.1002/9780470050118.ecse683
,10 February 2017,Computer Vision for MAVs,https://onlinelibrary.wiley.com/doi/10.1002/9781118868065.ch3
,06 September 2016,The Shape of a Computer Phenomenon,https://onlinelibrary.wiley.com/doi/10.1002/9781119415534.ch1
,14 December 2007,Computer Architecture,https://onlinelibrary.wiley.com/doi/10.1002/9780470050118.ecse071
,02 January 2012,History of Computer Crime,https://onlinelibrary.wiley.com/doi/10.1002/9781118851678.ch2
,12 May 2008,The Gender Agenda in Computer Ethics,https://onlinelibrary.wiley.com/doi/10.1002/9780470281819.ch25
"Halit Oztekin, Feyzullah Temurtas, Ali Gulbag",28 June 2018,On the improvement of the teaching quality and learning effectiveness in the computer organization course through FPGA and modular centered microcomputer design,https://onlinelibrary.wiley.com/doi/10.1002/cae.21956
,05 March 2013,Chance and the Computer,https://onlinelibrary.wiley.com/doi/10.1002/9781118557938.ch21
"Ayman Kayssi, Sanaa Sharafeddine, Houda Karaki",22 July 2004,Computer-based laboratory for data communications and computer networking,https://onlinelibrary.wiley.com/doi/10.1002/cae.20002
,12 November 2004,Computer Arithmetic,https://onlinelibrary.wiley.com/doi/10.1002/0471478326.ch4
,23 June 2015,Computer Fundamentals and Performance Evaluation,https://onlinelibrary.wiley.com/doi/10.1002/9781118841105.ch1
,15 April 2008,Computer Animation,https://onlinelibrary.wiley.com/doi/10.1002/9780470050118.ecse695
,04 March 2017,Camera Computer Interfaces,https://onlinelibrary.wiley.com/doi/10.1002/9783527413409.ch8
