title,link
"Systems Journal, IEEE",https://www.ieee.org/membership-catalog/productdetail/showProductDetailPage.html?product=PER212-ELE
"Autonomous Mental Development, IEEE Transactions on",https://www.ieee.org/membership-catalog/productdetail/showProductDetailPage.html?product=PER221-ELE
"PULSE, IEEE: A Magazine published by the IEEE Engineering in Medicine and Biology Society",https://www.ieee.org/membership-catalog/productdetail/showProductDetailPage.html?product=PER309-PRT
IEEE EMB,https://www.embs.org/
EMBC 2021 | EMBS,https://embc.embs.org/2021/
39th International Conference of the IEEE Engineering in Medicine ...,https://embc.embs.org/2017/
IEEE/ACM Transactions on Computational Biology and ...,https://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=8857
EMBC 2019,https://embc.embs.org/2019/
IEEE/ACM Transactions on Computational Biology and Bioinformatics,https://www.computer.org/csdl/journal/tb
EMBC 2022 |,https://embc.embs.org/2022/
40th International Conference of the IEEE Engineering in Medicine ...,https://embc.embs.org/2018/
EMBC 2016,https://embc.embs.org/2016/
IEEE Engineering in Medicine and Biology Society Membership,https://www.ieee.org/membership-catalog/productdetail/showProductDetailPage.html?product=MEMEMB018
