title,link
Photonic Sensors,https://link.springer.com/journal/13320
Computational Visual Media,https://link.springer.com/journal/41095
Best Paper Award 2020,https://link.springer.com/article/10.1007/s12273-021-0866-8
Message from the Editor-in-Chief,https://link.springer.com/article/10.1007/s41095-021-0261-5
Study of the Sensing Characteristics of Irradiated Fiber Bragg Gratings and Fabry-Perot Interferometers Under Gamma Radiation,https://link.springer.com/article/10.1007/s13320-021-0630-9
Optical Oxygen Sensors With Improved Lifetime Incorporating Titania Beads and Polydimethylsiloxane Coatings,https://link.springer.com/article/10.1007/s13320-020-0608-z
Dual-Wavelength Continuous Wave Photoacoustic Doppler Flow Measurement,https://link.springer.com/article/10.1007/s13320-021-0633-6
A Miniature Fiber Tip Polystyrene Microsphere Temperature Sensor With High Sensitivity,https://link.springer.com/article/10.1007/s13320-021-0625-6
Erroneous pixel prediction for semantic image segmentation,https://link.springer.com/article/10.1007/s41095-021-0235-7
Rectangling irregular videos by optimal spatio-temporal warping,https://link.springer.com/article/10.1007/s41095-021-0222-z
An Effort Towards Full Graphene Photodetectors,https://link.springer.com/article/10.1007/s13320-020-0600-7
Zinc Phthalocyanine Thin Film-Based Optical Waveguide H2S Gas Sensor,https://link.springer.com/article/10.1007/s13320-021-0623-8
Visual perception driven collage synthesis,https://link.springer.com/article/10.1007/s41095-021-0226-8
Demonstration of a Polymer-Based Single Step Waveguide by 3D Printing Digital Light Processing Technology for Isopropanol Alcohol-Concentration Sensor,https://link.springer.com/article/10.1007/s13320-021-0626-5
Turbulence model performance for ventilation components pressure losses,https://link.springer.com/article/10.1007/s12273-021-0803-x
Learning conditional photometric stereo with high-resolution features,https://link.springer.com/article/10.1007/s41095-021-0223-y
4-Mercaptopyridine Modified Fiber Optic Plasmonic Sensor for Sub-nM Mercury (II) Detection,https://link.springer.com/article/10.1007/s13320-021-0611-z
DualFace: Two-stage drawing guidance for freehand portrait sketching,https://link.springer.com/article/10.1007/s41095-021-0227-7
Deep image synthesis from intuitive user input: A review and perspectives,https://link.springer.com/article/10.1007/s41095-021-0234-8
Homography-guided stereo matching for wide-baseline image interpolation,https://link.springer.com/article/10.1007/s41095-021-0225-9
