author,date,title,link
Sulan ZhangYunfu ShenZheyu Zhao,19 March 2020,Design and implementation of a three-lane CA Traffic Flow model on ternary optical computer,https://www.sciencedirect.com/science/article/pii/S0030401820302820
Antoine DainaUte F. RöhrigVincent Zoete,28 August 2020,Computer-Aided Drug Design for Cancer Therapy,https://www.sciencedirect.com/science/article/pii/B9780128012383116708
,,,
,24 October 2019,Optical computer based application platform for MSD multiplication,https://www.sciencedirect.com/science/article/pii/S0030401819309617
Dennis G. BalreiraMarcelo WalterDieter W. Fellner,9 October 2018,A survey of the contents in introductory Computer Graphics courses,https://www.sciencedirect.com/science/article/pii/S0097849318301560
Florian J. Boge,16 December 2019,How to infer explanations from computer simulations,https://www.sciencedirect.com/science/article/pii/S0039368119301888
,15 January 2020,The impact of computer use on myopia development in childhood: The Generation R study,https://www.sciencedirect.com/science/article/pii/S0091743520300128
,18 November 2020,HotSpotter: Using a computer-driven photo-id application to identify sea turtles,https://www.sciencedirect.com/science/article/pii/S0022098120301738
,26 August 2020,Hot topic: Detecting digital dermatitis with computer vision,https://www.sciencedirect.com/science/article/pii/S0022030220306330
,4 October 2018,Basic theory and key technology of programming platform of ternary optical computer,https://www.sciencedirect.com/science/article/pii/S003040261831492X
Ahmed Chiheb Ammari,27 November 2019,Adaptive battery aware power management of a computer with self power-managed components,https://www.sciencedirect.com/science/article/pii/S0141933119303795
Romina Brignardello-Petersen,17 December 2019,No evidence of differences between 2 ceramic materials used to fabricate onlays using the computer-aided design and computer-aided manufacturing technique after 5 years,https://www.sciencedirect.com/science/article/pii/S0002817719307196
,12 October 2020,Computer-Aided Diagnosis With Monochromatic Light Endoscopy for Scoring Histologic Remission in Ulcerative Colitis,https://www.sciencedirect.com/science/article/pii/S001650852035246X
,25 September 2020,Chapter 3: Cooking with computers: the vision of digital gastronomy,https://www.sciencedirect.com/science/article/pii/B9780128200575000030
Louis J. Catania,27 November 2020,2: The basic computer,https://www.sciencedirect.com/science/article/pii/B9780128244777000080
Daniel J. Hoeppner,22 January 2021,Chapter 1: A biologist's perspective on computer vision,https://www.sciencedirect.com/science/article/pii/B9780128149720000011
,6 October 2020,Evaluating Congou black tea quality using a lab-made computer vision system coupled with morphological features and chemometrics,https://www.sciencedirect.com/science/article/pii/S0026265X20329386
,22 May 2019,Computer vision symptoms in people with and without neck pain,https://www.sciencedirect.com/science/article/pii/S000368701930078X
,1 July 2020,Corrigendum to “Performance optimization of IoT based biological systems using deep learning” [Computer Communications 155 (2020) 24–31],https://www.sciencedirect.com/science/article/pii/S0140366420318740
,16 July 2019,The future of computing and wisdom: Insights from Human–Computer Interaction,https://www.sciencedirect.com/science/article/pii/S0016328718305123
Martin Plonus,28 February 2020,8: The digital computer,https://www.sciencedirect.com/science/article/pii/B9780128170083000085
,12 January 2018,A computer vision based method for 3D posture estimation of symmetrical lifting,https://www.sciencedirect.com/science/article/pii/S0021929018300277
Yufeng ShuChangwei XiongSili Fan,26 February 2020,Interactive design of intelligent machine vision based on human–computer interaction mode,https://www.sciencedirect.com/science/article/pii/S0141933120301204
,22 June 2020,Experimental and computer simulation investigations of ethyl red with modified β-cyclodextrins: Inclusion mechanism and structure characterization,https://www.sciencedirect.com/science/article/pii/S0009261420306400
Jerone DunbarJuan E. GilbertBen Lewis,30 April 2020,Exploring differences between self-report and electrophysiological indices of drowsy driving: A usability examination of a personal brain-computer interface device,https://www.sciencedirect.com/science/article/pii/S0022437520300499
,29 November 2018,"Massively parallel quantum computer simulator, eleven years later",https://www.sciencedirect.com/science/article/pii/S0010465518303977
