author,date,title,link
Carl Tashian,"Apr 22, 2016",‘The Art of Computer Programming’ by Donald Knuth,https://medium.com/@tashian/the-art-of-computer-programming-by-donald-knuth-82e275c8764f?source=search_post---------0
Dhawal Shah,"Mar 5, 2017",370 Free Online Programming & Computer Science Courses You Can Start This Month,https://medium.com/free-code-camp/370-free-online-programming-computer-science-courses-you-can-start-this-month-fc5b9867769e?source=search_post---------1
Dhawal Shah,"Apr 5, 2017",515 Free Online Programming & Computer Science Courses You Can Start in April,https://medium.com/free-code-camp/515-free-online-programming-computer-science-courses-you-can-start-in-april-8b0ce1817d61?source=search_post---------2
Dhawal Shah,"May 2, 2017",438 Free Online Programming & Computer Science Courses You Can Start in May,https://medium.com/free-code-camp/438-free-online-programming-computer-science-courses-you-can-start-in-may-aa316e4195fc?source=search_post---------3
YK Sugi,"Oct 22, 2018",What Is A Quantum Computer?,https://betterprogramming.pub/what-is-a-quantum-computer-explained-with-a-simple-example-b8f602035365?source=search_post---------4
Sedat Kapanoglu,"Jan 9, 2020",How is computer programming different today than 20 years ago?,https://medium.com/@ssg/how-is-computer-programming-different-today-than-20-years-ago-9d0154d1b6ce?source=search_post---------5
James Le,"Apr 12, 2018",The 5 Computer Vision Techniques That Will Change How You See The World,https://heartbeat.comet.ml/the-5-computer-vision-techniques-that-will-change-how-you-see-the-world-1ee19334354b?source=search_post---------6
Dhawal Shah,"Sep 6, 2017",500 Free Online Programming & Computer Science Courses You Can Start in September,https://medium.com/free-code-camp/450-free-online-programming-computer-science-courses-you-can-start-in-september-59712e77635c?source=search_post---------7
Dhawal Shah,"Mar 11, 2018",620+ Free Online Programming & Computer Science Courses You Can Start in March,https://medium.com/free-code-camp/620-free-online-programming-computer-science-courses-you-can-start-in-march-68af9d45a115?source=search_post---------8
Ilya Suzdalnitski,Jan 4,Object-Oriented Programming is The Biggest Mistake of Computer Science,https://medium.com/@suzdalnitski/oop-will-make-you-suffer-846d072b4dce?source=search_post---------9
